artist,year
Mumford & Sons,2009
The Fray,2009
Bruno Mars,2010
Eminem,2010
Lady Gaga,2009
Stromae,2010
Kesha,2010
David Guetta,2010
Taio Cruz,2010
Rihanna,2010
Katy Perry,2012
Kesha,2010
INNA,2010
Far East Movement,2010
David Guetta,2010
Duck Sauce,2010
Lucenzo,2011
Rihanna,2009
Timbaland,2009
DJ Fresh,2010
Edward Maya,2010
Taio Cruz,2010
Black Eyed Peas,2009
Sidney Samson,2009
Eminem,2010
Lady Gaga,2009
Rihanna,2009
Ne-Yo,2010
3OH!3,2010
Black Eyed Peas,2010
Kelly Rowland,2011
Swedish House Mafia,2010
Chris Brown,2011
Usher,2010
Iyaz,2009
Flo Rida,2010
Sean Kingston,2010
Waka Flocka Flame,2010
Tinie Tempah,2010
Bruno Mars,2010
Miley Cyrus,2010
Mike Posner,2010
Lady Gaga,2009
Yolanda Be Cool,2010
Rihanna,2009
Tinie Tempah,2010
Adam Lambert,2009
Trey Songz,2010
Timbaland,2009
Enrique Iglesias,2010
Tim Berg,2010
Usher,2010
Maroon 5,2010
Jay Sean,2009
Rihanna,2010
3OH!3,2010
Justin Bieber,2010
Cali Swag District,2011
Swedish House Mafia,2010
K'NAAN,2009
Ludacris,2010
Kesha,2010
DJ Khaled,2010
Jason Derulo,2010
Aloe Blacc,2010
B.o.B,2010
Ludacris,2010
Nelly,2010
Rihanna,2010
Shontelle,2010
Take That,2010
Trey Songz,2009
Jason Derulo,2010
Drake,2010
Example,2010
Plan B,2010
The Saturdays,2010
Jay Sean,2009
Usher,2010
Lil Wayne,2010
The Wanted,2010
Kesha,2010
Ellie Goulding,2010
Drake,2010
Jason Derulo,2010
Two Door Cinema Club,2010
JAY-Z,2009
Young Money,2009
B.o.B,2010
Katy Perry,2010
Scouting For Girls,2017
Travie McCoy,2010
Owl City,2009
Alicia Keys,2009
Lady A,2010
Taylor Swift,2010
Neon Trees,2010
Kris Allen,2009
Matt Cardle,2011
Robyn,2010
The Band Perry,2010
B.o.B,2010
Adele,2011
Maroon 5,2010
LMFAO,2011
Katy Perry,2010
Bruno Mars,2010
Pitbull,2011
Alexandra Stan,2011
David Guetta,2010
Jennifer Lopez,2011
Rihanna,2010
Kesha,2010
Snoop Dogg,2011
Taio Cruz,2010
Usher,2010
Example,2011
Black Eyed Peas,2010
David Guetta,2012
Lykke Li,2011
Pitbull,2011
Selena Gomez & The Scene,2011
Wiz Khalifa,2011
Katy Perry,2012
Britney Spears,2011
Gym Class Heroes,2011
Edward Maya,2010
Enrique Iglesias,2010
Jeremih,2010
Sak Noel,2011
Olly Murs,2011
LMFAO,2011
Cobra Starship,2011
Jessie J,2011
DJ Fresh,2012
Waka Flocka Flame,2010
Nickelback,2011
M83,2011
Britney Spears,2011
Labrinth,2012
Jason Derulo,2011
Coldplay,2011
Katy Perry,2012
Adele,2011
Dr. Dre,2011
Lil Wayne,2011
DJ Khaled,2011
Chris Brown,2011
Far East Movement,2010
The Wanted,2011
Kesha,2010
Kelly Rowland,2011
Rihanna,2011
Nicole Scherzinger,2011
Mann,2011
Chris Brown,2011
Swedish House Mafia,2011
Kanye West,2010
Miguel,2010
Diddy - Dirty Money,2010
Rihanna,2010
Chris Brown,2019
Avril Lavigne,2011
Professor Green,2011
Chase & Status,2011
Chip,2011
Selena Gomez & The Scene,2011
Rizzle Kicks,2011
Lady Gaga,2011
Nicki Minaj,2010
Mac Miller,2011
Calvin Harris,2012
David Guetta,2012
Foster The People,2011
Drake,2011
Jessie J,2011
Jason Aldean,2010
Wiz Khalifa,2011
OneRepublic,2009
Bad Meets Evil,2011
Bruno Mars,2010
Lupe Fiasco,2011
James Morrison,2011
Jason Derulo,2011
Adele,2011
Red Hot Chili Peppers,2011
Keri Hilson,2010
P!nk,2010
Blake Shelton,2011
Lady Gaga,2011
Lady A,2011
Hot Chelle Rae,2011
Grouplove,2011
Coldplay,2011
Beyoncé,2011
P!nk,2010
Christina Perri,2011
Bruno Mars,2010
The Band Perry,2010
Lil Wayne,2011
Charlene Soraia,2011
Christina Perri,2011
Rihanna,2011
Carly Rae Jepsen,2012
fun.,2012
Sean Paul,2012
Pitbull,2011
DEV,2012
Adele,2012
David Guetta,2012
Rihanna,2011
JAY-Z,2011
Maroon 5,2012
Skrillex,2011
The Wanted,2012
Flo Rida,2012
will.i.am,2013
David Guetta,2012
Nicki Minaj,2012
Kendrick Lamar,2012
MARINA,2012
Kanye West,2012
DJ Fresh,2012
LMFAO,2011
PSY,2012
Kesha,2012
Usher,2012
Olly Murs,2012
Linkin Park,2012
Bruno Mars,2012
Avicii,2011
Flo Rida,2012
Rihanna,2012
Wiz Khalifa,2012
Katy Perry,2012
Nicki Minaj,2012
Kendrick Lamar,2012
Asaf Avidan & the Mojos,2012
Florence + The Machine,2011
Azealia Banks,2014
Maroon 5,2012
James Arthur,2013
Michel Teló,2012
Otto Knows,2012
Icona Pop,2012
Tyga,2012
Calvin Harris,2012
Jennifer Lopez,2012
Grimes,2012
Adele,2011
Coldplay,2011
Chris Brown,2012
Frank Ocean,2012
Calvin Harris,2012
The Script,2012
Swedish House Mafia,2012
MARINA,2012
Justin Bieber,2012
David Guetta,2012
Jessie J,2011
Taylor Swift,2012
ScHoolboy Q,2012
P!nk,2012
Robbie Williams,2012
Snoop Dogg,2011
Justin Bieber,2012
Rita Ora,2012
Alex Clare,2011
Tyga,2012
Alesso,2012
Guy Sebastian,2012
Katy Perry,2012
Avicii,2012
Gotye,2011
Flo Rida,2012
One Direction,2012
Lana Del Rey,2012
Kesha,2012
Owl City,2012
Calvin Harris,2012
Emeli Sandé,2012
Ellie Goulding,2010
Train,2012
Disclosure,2013
Coldplay,2011
One Direction,2012
Gym Class Heroes,2011
Carrie Underwood,2012
alt-J,2012
Chris Brown,2012
Kelly Clarkson,2011
Drake,2011
Katy Perry,2012
Rita Ora,2012
Rudimental,2013
Lana Del Rey,2012
Ne-Yo,2012
Demi Lovato,2011
Drake,2011
Little Mix,2012
Bruno Mars,2011
Cher Lloyd,2011
Lorde,2013
Robin Thicke,2013
Imagine Dragons,2012
Avicii,2013
Bruno Mars,2012
Macklemore & Ryan Lewis,2012
Daft Punk,2013
will.i.am,2013
Stromae,2013
Bingo Players,2013
Naughty Boy,2013
Tom Odell,2013
2 Chainz,2013
David Guetta,2012
Pitbull,2012
will.i.am,2013
Lil Wayne,2013
Macklemore & Ryan Lewis,2012
Martin Garrix,2013
Jason Derulo,2013
John Newman,2013
Britney Spears,2013
The Neighbourhood,2013
Sebastian Ingrosso,2013
Capital Cities,2013
Demi Lovato,2013
Arctic Monkeys,2013
Justin Bieber,2012
Eminem,2013
Pitbull,2012
Selena Gomez,2013
P!nk,2012
Disclosure,2013
Flo Rida,2012
Kanye West,2013
Lana Del Rey,2013
Eminem,2013
Icona Pop,2013
Fall Out Boy,2013
Lorde,2013
Avicii,2012
Imagine Dragons,2012
One Direction,2013
Taylor Swift,2012
Arctic Monkeys,2013
Rudimental,2013
Klangkarussell,2014
Calvin Harris,2012
A$AP Rocky,2013
P!nk,2012
Ylvis,2013
Ellie Goulding,2014
Baauer,2013
Calvin Harris,2012
Katy Perry,2013
AWOLNATION,2011
Duke Dumont,2013
Jason Derulo,2013
Storm Queen,2014
Calvin Harris,2012
Katy Perry,2013
Wale,2013
Ciara,2013
Drake,2013
Birdy,2013
Bastille,2013
Olly Murs,2012
Katy Perry,2013
Blake Shelton,2013
Calvin Harris,2012
JAY-Z,2013
Bridgit Mendler,2012
The Saturdays,2013
Bastille,2013
One Direction,2013
Nelly,2013
Zedd,2012
Miley Cyrus,2013
Chris Brown,2013
Daft Punk,2013
Armin van Buuren,2013
Justin Timberlake,2013
Bruno Mars,2012
Of Monsters and Men,2012
Miley Cyrus,2013
J. Cole,2013
Paramore,2013
Christina Perri,2013
Drake,2013
James Blunt,2013
Maroon 5,2012
Childish Gambino,2013
Avril Lavigne,2013
Taylor Swift,2012
Passenger,2012
Ariana Grande,2013
Rihanna,2012
Justin Timberlake,2013
Bruno Mars,2012
Florida Georgia Line,2012
Pharrell Williams,2014
Katy Perry,2013
ScHoolboy Q,2014
Iggy Azalea,2014
Maroon 5,2014
Sam Smith,2014
MAGIC!,2014
Sia,2014
John Legend,2013
ZHU,2014
Meghan Trainor,2015
David Guetta,2014
Iggy Azalea,2014
Tove Lo,2014
Oliver Heldens,2014
DJ Snake,2014
Jason Derulo,2013
Maroon 5,2014
David Guetta,2014
Tinashe,2014
Route 94,2014
Taylor Swift,2014
Trey Songz,2015
Calvin Harris,2014
O.T. Genasis,2014
Jason Derulo,2013
Lilly Wood and The Prick,2014
Jeremih,2015
Nicki Minaj,2014
Calvin Harris,2014
DJ Snake,2013
Pitbull,2012
OneRepublic,2014
Bobby Shmurda,2014
Calvin Harris,2014
ScHoolboy Q,2014
Nico & Vinz,2014
Becky G,2014
Sigma,2014
The Chainsmokers,2014
Lorde,2013
Rixton,2014
Klingande,2013
Mr. Probz,2014
Paloma Faith,2014
Kiesza,2014
Ellie Goulding,2014
Ariana Grande,2014
Kid Ink,2014
Tove Lo,2014
Chris Brown,2014
OneRepublic,2014
Olly Murs,2014
Peking Duk,2014
Milky Chance,2014
Ed Sheeran,2014
Ariana Grande,2014
Enrique Iglesias,2014
Avicii,2013
Jessie J,2014
Duke Dumont,2014
Gorgon City,2014
Taylor Swift,2014
MKTO,2012
Disclosure,2013
Ariana Grande,2014
Charli XCX,2014
One Direction,2014
Tiësto,2013
Selena Gomez,2014
Rita Ora,2014
5 Seconds of Summer,2014
The Script,2014
Taylor Swift,2014
One Direction,2014
Ed Sheeran,2014
Alesso,2014
Tiësto,2014
G.R.L.,2014
Coldplay,2014
Clean Bandit,2014
Zedd,2014
Sia,2014
One Direction,2013
Alex & Sierra,2014
Omarion,2014
Echosmith,2013
Natalie La Rose,2014
Vance Joy,2014
Beyoncé,2014
Maroon 5,2014
Ella Henderson,2014
Ed Sheeran,2013
Chris Brown,2014
Sheppard,2014
Olly Murs,2014
Sam Smith,2014
Jason Derulo,2013
Nicki Minaj,2014
Nick Jonas,2014
Mark Ronson,2015
Ed Sheeran,2014
Wiz Khalifa,2015
Justin Bieber,2015
Major Lazer,2015
The Weeknd,2014
Ellie Goulding,2015
Calvin Harris,2014
David Guetta,2014
Demi Lovato,2015
Taylor Swift,2014
The Weeknd,2015
The Neighbourhood,2015
Deorro,2015
Avicii,2014
DJ Snake,2014
Adam Lambert,2015
Rae Sremmurd,2015
Taylor Swift,2015
Flo Rida,2015
Robin Schulz,2015
Calvin Harris,2015
Philip George,2014
Trey Songz,2015
Fall Out Boy,2015
Rob $tone,2016
Lost Frequencies,2014
Twenty One Pilots,2015
Fifth Harmony,2015
KALEO,2015
Sam Smith,2014
Major Lazer,2015
Martin Solveig,2015
Avicii,2015
Felix Jaehn,2018
Taylor Swift,2014
The Weeknd,2015
Pitbull,2014
Galantis,2015
Rihanna,2015
Zara Larsson,2015
One Direction,2015
Travis Scott,2015
Years & Years,2015
Demi Lovato,2015
Lemaitre,2017
Selena Gomez,2015
Pia Mia,2015
Flo Rida,2015
Silentó,2015
Chris Brown,2015
The Strumbellas,2016
Fetty Wap,2015
Tove Lo,2014
Beyoncé,2014
Lana Del Rey,2015
Zara Larsson,2017
Jeremih,2015
Drake,2016
Selena Gomez,2015
Birdy,2015
Fetty Wap,2015
Ariana Grande,2014
The Weeknd,2015
SAYGRACE,2015
X Ambassadors,2015
R. City,2015
Kygo,2016
Tame Impala,2015
Selena Gomez,2015
Fetty Wap,2015
Hozier,2014
Taylor Swift,2014
Alessia Cara,2015
Sam Smith,2015
David Guetta,2015
Meek Mill,2015
Big Sean,2015
Kygo,2016
Drake,2015
Petit Biscuit,2015
Shawn Mendes,2015
Flo Rida,2015
Selena Gomez,2014
Jack Ü,2015
Ellie Goulding,2015
Bryson Tiller,2015
Rich Homie Quan,2015
Joel Adams,2015
Zedd,2015
Jonas Blue,2015
BØRNS,2015
Sigala,2018
Justin Bieber,2015
Ariana Grande,2014
Little Mix,2015
One Direction,2015
Years & Years,2015
Meghan Trainor,2015
Nicky Jam,2017
The Weeknd,2016
Drake,2016
Justin Bieber,2015
The Chainsmokers,2016
Adele,2015
Desiigner,2016
Burak Yeter,2016
Sia,2016
OneRepublic,2016
Rihanna,2016
Coldplay,2015
Justin Bieber,2015
Justin Timberlake,2016
WILLOW,2015
Desiigner,2016
G-Eazy,2015
David Guetta,2016
Astrid S,2016
Lil Wayne,2016
Twenty One Pilots,2016
Future,2016
Galantis,2016
The Chainsmokers,2016
Tinie Tempah,2016
Alok,2016
Jon Bellion,2016
Cheat Codes,2016
Meghan Trainor,2017
Dua Lipa,2017
Martin Garrix,2016
Alan Walker,2018
Tove Lo,2016
DJ Snake,2016
Calvin Harris,2016
Mike Posner,2016
Kevin Gates,2016
Rihanna,2016
Ariana Grande,2016
Marshmello,2016
Shawn Mendes,2015
Selena Gomez,2015
Calvin Harris,2016
Fitz and The Tantrums,2016
Twenty One Pilots,2015
Flo Rida,2015
Ariana Grande,2016
Anne-Marie,2016
Charlie Puth,2016
AlunaGeorge,2016
Enrique Iglesias,2016
MNEK,2015
Mike Perry,2016
Drake,2016
Ariana Grande,2016
Shawn Mendes,2017
Tory Lanez,2016
Coldplay,2015
Kungs,2016
SAYGRACE,2016
X Ambassadors,2015
DNCE,2016
99 Souls,2016
Illy,2016
Kiiara,2015
Kygo,2016
Fifth Harmony,2016
Drake,2016
ZAYN,2016
Alessia Cara,2016
DJ Snake,2016
Sigala,2015
Drake,2015
Charlie Puth,2016
Nick Jonas,2016
Jonas Blue,2016
Major Lazer,2016
The Chainsmokers,2015
Tory Lanez,2016
P!nk,2016
Bryson Tiller,2015
Steve Aoki,2016
Clean Bandit,2016
Jonas Blue,2015
Flume,2016
Bastille,2016
Sia,2016
PARTYNEXTDOOR,2016
Garrett Nash,2016
Hilltop Hoods,2016
Fifth Harmony,2016
Daya,2016
Kent Jones,2016
Flume,2016
Bryson Tiller,2015
MØ,2016
Beyoncé,2016
Little Mix,2017
The Lumineers,2016
Frank Ocean,2016
Drake,2016
Ed Sheeran,2017
Sean Paul,2018
Luis Fonsi,2017
Sam Smith,2017
Clean Bandit,2016
Camila Cabello,2017
Imagine Dragons,2017
Maroon 5,2018
The Chainsmokers,2017
Ed Sheeran,2017
MGMT,2018
Travis Scott,2016
Billie Eilish,2017
Future,2017
G-Eazy,2017
Maroon 5,2017
Rae Sremmurd,2016
Lil Peep,2017
A$AP Ferg,2017
French Montana,2017
21 Savage,2017
Axwell /\ Ingrosso,2017
ZAYN,2017
J Balvin,2017
Jax Jones,2016
Rae Sremmurd,2016
Zara Larsson,2017
Travis Scott,2017
Ayo & Teo,2017
Lil Uzi Vert,2017
Imagine Dragons,2017
Rob $tone,2016
Jason Derulo,2017
G-Eazy,2017
Playboi Carti,2017
Chord Overstreet,2017
Jax Jones,2017
Imagine Dragons,2017
Natti Natasha,2017
Kendrick Lamar,2017
Selena Gomez,2017
Charlie Puth,2017
Big Shaq,2017
Anne-Marie,2017
Rag'n'Bone Man,2017
blackbear,2017
Lil Pump,2017
Taylor Swift,2017
Enrique Iglesias,2017
Kodak Black,2017
Kendrick Lamar,2017
A Boogie Wit da Hoodie,2017
XXXTENTACION,2017
Migos,2017
Yo Gotti,2017
Martin Garrix,2017
Jonas Blue,2017
Martin Jensen,2016
Taylor Swift,2017
David Guetta,2017
Migos,2017
Shawn Mendes,2017
G-Eazy,2017
The Vamps,2017
Dua Lipa,2017
Cardi B,2017
Rag'n'Bone Man,2017
Zara Larsson,2017
DJ Khaled,2017
Post Malone,2016
Avicii,2017
Clean Bandit,2017
Katy Perry,2017
Zay Hilfigerrr,2016
Calvin Harris,2017
Migos,2017
OneRepublic,2017
Maggie Lindemann,2017
Macklemore,2017
Hayden James,2019
Liam Payne,2017
Drake,2017
Justin Bieber,2017
ZAYN,2016
Alessia Cara,2016
2 Chainz,2017
Starley,2016
AJR,2017
Lana Del Rey,2017
CNCO,2017
The Vamps,2017
The Weeknd,2016
The Chainsmokers,2017
Big Sean,2017
Shawn Mendes,2017
Avicii,2017
Cheat Codes,2017
Bruno Mars,2016
Lorde,2017
Kygo,2017
Drake,2018
Post Malone,2018
Offset,2017
G-Eazy,2017
Dynoro,2018
Juice WRLD,2018
Zedd,2018
Marshmello,2018
Cardi B,2018
XXXTENTACION,2018
Ariana Grande,2018
Sheck Wes,2018
Calvin Harris,2018
Tyga,2018
Travis Scott,2018
Imagine Dragons,2018
DJ Snake,2018
Marshmello,2018
The Weeknd,2018
Billie Eilish,2018
Migos,2018
Clean Bandit,2018
Drake,2018
6ix9ine,2018
The Weeknd,2018
Nio Garcia,2018
Migos,2018
Nicky Jam,2019
XXXTENTACION,2018
Becky G,2018
Machine Gun Kelly,2017
6ix9ine,2018
Jax Jones,2017
The Chainsmokers,2018
Jay Rock,2018
Rich The Kid,2018
Kendrick Lamar,2018
Logic,2018
Jason Derulo,2017
Ariana Grande,2018
Rae Sremmurd,2018
EO,2018
Dennis Lloyd,2017
girl in red,2018
Selena Gomez,2017
Tiësto,2018
Tom Walker,2017
Sofía Reyes,2018
Marshmello,2017
5 Seconds of Summer,2018
Loud Luxury,2017
Liam Payne,2018
NF,2017
XXXTENTACION,2018
Maluma,2018
Cardi B,2018
Lil Baby,2018
Jonas Blue,2018
David Guetta,2018
Ozuna,2018
Charlie Puth,2018
Post Malone,2018
BlocBoy JB,2018
Eminem,2017
Marshmello,2018
Dean Lewis,2018
Charlie Puth,2018
Migos,2018
YG,2018
Drake,2018
B Young,2018
Charlie Puth,2018
Reik,2018
benny blanco,2018
Luis Fonsi,2017
MK,2017
Rita Ora,2017
Banx & Ranx,2018
Ella Mai,2018
Daddy Yankee,2018
DJ Khaled,2018
Anne-Marie,2018
Bruno Mars,2017
FINNEAS,2018
Hugh Jackman,2017
Halsey,2017
Drake,2018
Camila Cabello,2018
M.O,2018
Dua Lipa,2017
Cashmere Cat,2018
Bazzi,2018
Lil Dicky,2018
Lauv,2018
The Chainsmokers,2018
Maroon 5,2018
Khalid,2018
Drake,2018
Kendrick Lamar,2017
Post Malone,2018
Lil Nas X,2019
Billie Eilish,2019
Shawn Mendes,2019
Ariana Grande,2019
Post Malone,2019
Gesaffelstein,2019
Halsey,2018
Regard,2019
Lady Gaga,2018
Mark Ronson,2018
Lewis Capaldi,2019
Jax Jones,2019
Mustard,2019
NLE Choppa,2019
Kodak Black,2018
Daddy Yankee,2019
Alec Benjamin,2018
BLACKPINK,2019
Offset,2019
MEDUZA,2019
Ed Sheeran,2019
Travis Scott,2018
Mabel,2019
Lana Del Rey,2019
DJ Snake,2019
A Boogie Wit da Hoodie,2018
Saweetie,2019
Lil Tecca,2019
Russ Millions,2019
Billie Eilish,2018
Mabel,2019
Lil Nas X,2019
Meek Mill,2018
Post Malone,2019
Doja Cat,2019
A Boogie Wit da Hoodie,2018
iann dior,2019
Paulo Londra,2019
Drake,2019
Lil Nas X,2019
Bad Bunny,2018
Polo G,2019
Juice WRLD,2019
21 Savage,2018
Young Thug,2019
Anuel AA,2019
Camila Cabello,2019
Flipp Dinero,2019
Cardi B,2018
Ariana Grande,2019
Dave,2019
Ava Max,2018
Dua Lipa,2019
Young T & Bugsey,2019
Calvin Harris,2019
Ed Sheeran,2019
Cardi B,2019
Stormzy,2019
Tones And I,2019
Ariana Grande,2019
Bad Bunny,2019
Ava Max,2019
Pedro Capó,2018
J. Cole,2019
Lunay,2019
Khalid,2018
Blueface,2018
DaBaby,2019
AJ Tracey,2019
Billie Eilish,2019
BTS,2019
Wiley,2019
Jonas Brothers,2019
5 Seconds of Summer,2019
Avicii,2019
"Tyler, The Creator",2019
Ashley O,2019
Dominic Fike,2018
Sigala,2019
Megan Thee Stallion,2019
Anuel AA,2019
Sam Feldt,2019
Kehlani,2019
Sech,2019
Post Malone,2018
Ed Sheeran,2019
Lauv,2019
iann dior,2019
Panic! At The Disco,2018
Marshmello,2019
Sam Smith,2019
NSG,2020
Normani,2019
Joel Corry,2019
Post Malone,2019
Jonas Brothers,2019
Taylor Swift,2019
Blanco Brown,2019
Sam Smith,2019
Post Malone,2019
